证券代码,日期,收入熵指标
#000007,2014,
#000403,2015,2.7905849772902878
#000408,2016,
#000408,2017,
#000426,2015,
#000426,2016,
#000426,2017,
#000511,2012,3.1237325178047954
#000511,2013,3.121685042516886
#000571,2014,
#000571,2015,
#000571,2016,
#000584,2014,
#000587,2012,3.025417013193974
#000587,2013,3.1474692500839963
#000587,2014,
#000603,2011,2.6924417392076876
#000603,2012,3.0218722584700486
#000603,2013,3.027618177796995
#000603,2014,
#000639,2011,2.939560047910997
#000639,2012,3.1555851350099564
#000639,2013,3.163827806131161
#000639,2014,
#000667,2015,
#000667,2016,3.1062806809402193
#000667,2017,
#000672,2013,3.0410370275789904
#000693,2013,3.0943000807664434
#000693,2014,
#000700,2010,3.362632013269032
#000700,2012,3.860255672035544
#000700,2013,3.8398177851702857
#000700,2015,3.1625999270494884
#000718,2009,1.837488618078712
#000718,2010,1.8392783691423316
#000718,2011,1.8662293804758767
#000718,2012,2.9671205428740692
#000718,2013,2.9854922073127415
#000718,2014,
#000718,2015,
#000718,2016,
#000821,2008,2.8602310261020616
#000821,2009,2.8813225871732273
#000821,2011,2.9274848431832403
#000821,2012,3.871843693735776
#000821,2013,3.943323126731769
#000821,2014,
#000821,2015,
#000821,2016,3.244588287765035
#000836,2009,2.9382867377938244
#000836,2010,3.043691237436513
#000836,2011,2.9228641046876502
#000836,2012,2.9442019670597595
#000836,2013,2.919589944707319
#000836,2014,
#000836,2015,2.254040828746462
#000887,2008,2.8067236775405453
#000887,2010,3.1487881949784
#000887,2011,3.1768665297915377
#000887,2012,3.7039756357965294
#000887,2013,3.705540079672782
#000887,2014,
#000887,2016,3.270081261429831
#000910,2015,3.422709542797992
#000929,2010,2.0878409096374866
#000929,2011,2.110921710313563
#000929,2012,3.2005469617769062
#000929,2013,3.1996981338524364
#000929,2016,
#000929,2017,
#000982,2013,3.7541842222783126
#001696,2009,3.0550897473458143
#001696,2010,3.0718168496835876
#001696,2011,3.2344115786757075
#001696,2012,3.2690869885225156
#001696,2013,3.299344727959291
#001696,2014,3.323504127973998
#002009,2008,2.6744772744691736
#002009,2009,3.4477336497329887
#002009,2010,3.5980897148518083
#002009,2011,3.765342248617913
#002009,2012,3.826786777722931
#002009,2013,3.7769917931392922
#002009,2014,
#002009,2015,
#002023,2008,2.5765763761118916
#002026,2012,3.841591404572843
#002026,2013,3.809675179219137
#002026,2014,
#002026,2015,3.2042918884359786
#002026,2016,
#002034,2014,
#002041,2013,3.5011816905938646
#002041,2014,
#002041,2015,
#002041,2016,2.926403820452215
#002041,2017,
#002049,2008,3.2447765326995603
#002049,2009,3.226884007542255
#002049,2010,3.2247574275599806
#002049,2011,3.4281104606071566
